1,0,"Poslovni cilj definiran od Uprave, odobren od Nadzornog Odbora.",Company cilj,2020-12-31,1,2020-09-17 12:22:09.307000,
227,2,Ovladati u potpunosti aplikacijom E-learning kao administrator do 31.12.,E- learning,2020-12-31,1,,
228,2,Revidiranje postojeæih materijala i procesa mentoringa uz prijedloge za poboljšanje i prezentiranje Upravi i voditeljima do 30.09.,Mentoring program,2020-09-30,1,,
230,2,Usklada dokumentacije zaposlenika sukladno GDPR-u,GDPR,2020-12-31,1,,
231,2,Uspostava /kontrola u HR procesima,Kontrola HR procesa,2020-09-30,1,,
232,2,Internal customers review,Internal customers review,2020-12-31,1,,
233,2,Activate cases in own portfolio,Activate cases in own portfolio,2020-12-31,1,,
234,2,Review of daily tasks; Review of initiaties in own portfolio; Monthly 1-1 review,Business review TL,2020-12-31,1,,
235,2,Revise old and propose new methods for work measurement (incl. reports),Work measurement,2020-12-31,2,,
236,2,"Further optimising our database in order to improve efficiency, speed and minimized possibility of night job failure",DWH database optimisation (including archiving/data retention),2020-12-31,1,,
237,2,Further development of Qlik sense application and education of all the key users in order to maximize benefits of thew software.,Qlik sense development and user education,2020-12-31,1,,
238,2,"Adding new functionalities in Qlik and RS REOs reports, updating the source of data as neccessary",Further development of REOs reports ,2020-12-31,1,,
239,2,Learning about the impact of stress and the tools to manage it. ,Stress mangement,2020-12-31,2,,
240,2,Team member is evaluated by coordinators of others teams,Internal customers review,2020-12-31,1,,
241,2,engagement in cases in Team members own portfolio,Activate cases in own portfolio,2020-12-31,1,,
242,2,Review of daily tasks; Review of initiaties in own portfoli; Monthly 1-1 review,Business review TL,2020-12-31,1,,
243,2,"Include more options when proposing decisions, with legal arguments, define risks for each",Enhance proposal quality,2020-12-31,2,,
244,2,Izrada izvještaja na mjeseènoj bazi,Izvještaj-Asset (Controling),2020-12-10,1,,
245,2,Razvijanje razine samostalnosti u radu,Samostalnost u radu,2020-12-31,2,,
246,2,Korištenje Excel-a u radu,Korištenje Excela,2020-12-31,2,,
247,2,Applying knowledge from ML workshop to SME profitability model in order to maximize profit ,SME profitability model,2020-12-31,1,,
248,2,Soft collateral database cleaning and optimization in order to have better data quality and improved analysis accuracy,Analysis of soft collateral database ,2020-12-31,1,,
249,2,Creating planned vs realized cost to collect model that will improve monitoring business cost in the future,Cost to collect management ,2020-12-31,1,,
250,2,Learning about the impact of relationships between colleagues and the tools to manage it,People management,2020-12-31,2,,
251,2,Pripremiti Anti-fraud edukacijski materijal u okviru e-learning tool-a u suradnji s predstavnikom HR-a te na razini kompanije provesti edukaciju. ,Anti-fraud edukacijski materijal u okviru e-learning tool-a,2020-10-31,1,,
252,2,"Podrška pri izradi i revidiranje internih akata odjela Pozadinskih poslova vezanih za poslovne procese primjerice prigovora, povrata preplaæenih sredstava i sl.  ",Praæenje izrade i revidiranje internih akata odjela Pozadinskih poslova ,2020-11-30,1,,
253,2,GDPR edukacija zaposlenika ,GDPR edukacija zaposlenika ,2020-12-31,1,,
254,2,Pohaðanje struène edukacije u podruèju GDPR-a radi stjecanja dodatnih znanja iz navedenog podruèja   ,Struèna edukacija GDPR ,2020-12-31,2,,
255,2,Automatisation of all repetitive reports ,Automatisation,2020-12-31,1,,
256,2,Definition of FTE need in Contingency plan ,FTE definition,2020-12-31,1,,
257,2,DWH database optimisation (including archiving/data retention),DWH optimisation,2020-12-31,1,,
259,2,Internal customers review,Internal customers review,2020-12-31,1,,
260,2,Activate cases in own portfolio,Activate cases in own portfolio,2020-12-31,1,,
261,2,"1. Review of daily tasks
2. Review of initiaties in own portfolio
3. Monthly 1-1 review
",Business review TL,2020-12-31,1,,
262,2,"Get engaged in internal procedures, review, propose, show more initiative",Engage in procedures,2020-12-31,2,,
263,2,Internal customers review,Internal customers review,2020-12-31,1,,
264,2,Activate cases in own portfolio,Activate cases in own portfolio,2020-12-31,1,,
265,2,Business review TL,Business review TL,2020-12-31,1,,
266,2,"Propose business improvements, get more engaged in strategic initiatives, be proactive","Propose business improvements, get more engaged in strategic initiatives, be proactive",2020-12-31,2,,
267,2,team members are evaluated by TL of other teams and departments,Internal customers review,2020-12-31,1,,
268,2,"number of lawsuits/execution procedures initiated, effort in solving individually assigned cases",Activate cases in own portfolio,2020-12-31,1,,
269,2,Review of daily tasks; Review of initiaties in own portfolio; Monthly 1-1 review,Business review TL,2020-12-31,1,,
270,2,Get involved in daily business as soon as possible,back to work,2020-12-31,2,,
271,2,Strenghten support to B2 RE in order to clean data and prepare transfer to B2 K,Strenghten support to B2 RE in order to clean data and prepare transfer to B2 K,2020-12-31,1,,
272,2,Coordination of import of databases (Strategy committee) into DWH and assistance with DP database,Individual Result KPI,2020-12-31,1,,
273,2,Curve analysis and revision of cases that are not removed from the curve and should have been,Individual Result KPI,2020-12-31,1,,
274,2,Amortization analytics,Individual Result KPI,2020-12-31,1,,
275,2,"Net effect calculator on collateral, including template that would ease the curve revision process and biggest influences",Individual Result KPI,2020-12-31,1,,
276,2,Learning about the impact of stress and the tools to manage it.,Stress management,2020-12-31,2,,
277,2,Propose new process for management of REOs in books,Propose new process for management of REOs in books,2020-12-31,1,,
278,2,Definition of FTE needs in Contingency plan,Definition of FTE needs in Contingency plan,2020-12-31,1,,
279,2,Create one development of employee to higher organizational level,Create one development of employee to higher organizational level,2020-12-31,2,,
281,2,"Coordination of import of databases into DWH (CC decisions, Pipeline report)",Individual Result KPI,2020-12-31,1,,
282,2,Curve analysis and revision of cases that are not removed from the curve and should have been,Individual Result KPI,2020-12-31,1,,
283,2,Connecting appraisal MV and LV to collaterals in the curve,Individual Result KPI,2020-12-31,1,,
284,2,DP DWH database creation (decisions from CC imported to DWH),Individual Result KPI,2020-12-31,1,,
285,2,Savladati u potpunosti pozicije zaposlenika i voditelja po odjelima,Bolje upoznavanje sa Organizacijom,2020-12-31,2,,
286,2,Learning about the efficient use of time in everyday working tasks and the tools to manage it,Time management,2020-12-31,2,,
287,2,Prepare collaterals to be linked with curves,Individualni cilj,2020-12-31,1,,
288,2,Prepare data for Solaris migration,Individualni cilj,2020-12-31,1,,
289,2,Definition of FTE needs in Contingency plan,Individualni cilj,2020-12-31,1,,
290,2,Develope at least one employee for higher organizational level,Individualni cilj,2020-12-31,2,,
291,2,"Regular daily and monthly work - performing tasks in due time, according to working shedule (correctness, in deadline)",Regular daily and monthly work,2020-12-31,1,,
292,2,Improvement of process of handling the Reos (coordination with RE department),Improvement of process of handling the Reos (coordination with RE department),2020-12-31,1,,
293,2,"Reading of professional literature and preparing of internal education for at least 3 articles in details from RRIF, TEB, 
RIP (or presenting education on which employee participated) ",Internal education,2020-12-31,2,,
294,2,Transfer of knowledge of VAT calculation and monthly report B2 Portfolio to Martina Fulir,Transfer of knowledge of VAT calculation and monthly report B2 Portfolio to Martina Fulir,2020-12-31,1,,
295,2,Izrada Procedure za Tim knjiženje,"Procedura za zatvaranje predmeta (Closing, compensation)",2020-12-31,1,,
296,2,Izrada organizcije timskog Foldera,Organizacija timskog Foldera,2020-12-31,1,,
297,2,Radionica - asertivno razmišljanje i ponašanje,Workshop,2020-12-30,2,,
298,2,Procedura za Incoming post,Izrada Procedure za Incoming post,2020-12-31,1,,
299,2,Detaljna analiza svakog pojedinog taska unutar procesa incoming posta,Popis i analiza taskova za incoming post,2020-12-31,1,,
300,2,Izrada radionice,Workshop-tema:Fokus na pozitivno razmišljanje u kriznim situacijama,2020-12-31,2,,
301,2,"Prijedlog strategije za poticanje povezanosti meðu Odjelima - sadrži prijedlog provedbe plana, definirane korake i timeline",Povezanost meðu Odjelima - osmisliti akcijski cilj za Kompaniju,2020-12-31,1,2020-09-23 14:18:52.873000,petra.b
302,2,"Ukljuèuje primarno provedbu kvalitativne analize postavljenih ciljeva, izradu formule i prijedloga za kalkulaciju bonusa i cijelokupni plan i provedbu kampanje revizije.",Post - implementacijske aktivnosti za Performance Management,2020-12-15,1,,
303,2,Osmisliti politiku zadržavanja za kljuène zaposlenike,Retention policy,2020-10-31,1,2020-09-23 14:18:53.130000,petra.b
304,2,Pohaðanje 8-dnevne škole Coacheva,Škola coacheva- certifikacija,2020-11-15,2,,
305,2,"Napraviti sažetak radionice, obuhvatiti sva relevantna saznanja i prezentirati ih timu",HR analytics for HR BP - osnove prezentirane timu,2020-10-31,2,2020-09-29 10:36:06.010000,petra.b
306,2,"Regular daily and monthly work - performing tasks in due time, according to working schedule (independence, pro-active, correctness, in deadline)",Poslovni cilj,2020-12-31,1,,
307,2,"Preparing proposition and implementing tracking of undue loans in one file/excel sheet in order to handle them easy and simple
Record of interest, allocation of un-due on due debt segments according to resolutions/contracts
Defining tasks and queues in Aroton for implementing deadlines, reminders and results of completed items- to be certain that everything is up to date
",Poslovni cilj,2020-12-31,1,,
308,2,Taking over of VAT calculation and monthly report for B2 Portfolio from Mihaela,Poslovni cilj,2020-12-31,1,,
309,2,"Reading of professional literature and preparing of internal education for at least 3 articles in details from RRIF, TEB, 
RIP (or presenting education on which employee participated) 
",Razvojni cilj,2020-12-31,2,,
310,2,"Reading of professional literature and preparing of internal education for at least 3 articles in details from RRIF, TEB, RIP (or presenting education on which employee participated)",Internal education,2020-12-31,2,,
311,2,"Regular daily and monthly work - performing tasks in due time, according to working schedule (independence, pro-active, correctness, in deadline)",Monthly work-correctly,2020-12-31,1,,
312,2,"Exploring of all possible IT solutions regarding travel order calculations in purpose of automatization. Revision of travel order process in company, optimization and improvement realization in coordination with other departments (including education of heads and employees) and taking over travel order calculations",Travel orders,2020-12-31,1,,
313,2,Kreiranje WF-ova i forme za  Planiranje i praæenje utrošenih resursa u projektima koristeæi JIRU,Planiranje i praæenje resursa u projektima,2020-12-31,1,,
314,2,Napraviti formalnu B2K Business case formu sa Cost Benefit podlogom i automatskom kalkulacijom u Excelu na naèin da business user unosi samo inpute (brojke),B2K Business Case forma,2020-12-31,1,,
315,2,"Kreiranje standardizirane projektne metodologije sa konkretnim template-ovima po fazama i vrstama projektnog plana prema vrstama projekata (IT, Business) sa opcijom primjene JIRE kao službenog PM toola",Project Management templates,2020-12-31,1,,
316,2,"Edukacija za front-end development i UX financirana od strane zaposlenika
https://www.udemy.com/course/html-css-javascript-certification-course-for-beginners/
https://www.udemy.com/course/the-complete-figma-course/",Samostalna edukacija,2020-12-31,2,,
317,2,"Regular maintenance, upgrade and automation of curve dataset, related analytical data in DWH and extraction procedures according to analytical and curve revision needs",Maintaining/updating and optimising curve data in DWH,2020-12-31,1,,
318,2,Complete automation of Monday Report and W Report and migration from current reporting tools to QlikSense platform,Monday and W Report automation and QlikSense integration,2020-12-31,1,,
319,2,Maximum possible automation of Success Fee calculation and development of analytical reports on SSRS platform,Success fee report automation (SSRS),2020-12-31,1,,
320,2,Learning about the impact of stress and the tools to manage it,Stress management,2020-12-31,2,,
321,2,"Regular daily and monthly work-performing tasks in due time, according to working schedule (independence, proactive, correctnessm in deatline)",Poslovni cilj,2020-12-30,1,,
322,2,"Assist in preparing proposition and implementing tracking of undue loans in one file/excel sheet in order to handle them easy and simple. Defining tasks and queues in Arotron for implementing deadlines, reminders and results of completes-to be certain that everything is up to date",Poslovni cilj,2020-12-31,1,,
323,2,Help Josipa to take over pre-bankruptcysettlements and posting transactions in the Arotron,Poslovni cilj,2020-12-30,1,,
324,2,"Reading of professional literature and preparing of internal education for at last 3 articles in details from RRIF, TEB, RIP (or presenting education on which employee participated)",Razvojni cilj,2020-12-30,2,,
325,2,Kreiranje internoj Career-Job counseling usluge koja æe služiti kao pomoæ zaposlenicima pri susretu s tržištem rada.,Career-Job counseling program,2020-09-30,1,,
326,2,Revidiranje onboarding procesa i izrada kompletne procedure.,Onboarding proces,2020-12-31,1,,
327,2,Izrada profila poželjnih kandidata za 4 pozicije.,Profil poželjnih kandidata,2020-11-30,1,,
328,2,Samostalna izrada izvještaja i izrada uputa.,Izvještavanje,2020-11-30,2,,
329,2,Poboljšanje komunikacijskih vještina temeljem prouèavanja edukativnih materijala.,Komunikacijske vještine,2020-12-31,2,,
330,2,Unaprijediti vještine oba koordinatora.,Razvoj koordinatorima,2020-12-31,2,,
331,2,Analiza I unaprjeðenje procesa support tima s ciljem efikasnije naplate I bržeg odgovora na zahtjeve.,Unaprjeðenje procesa support tima,2020-12-31,1,,
332,2,Optimizacija I preuzimanje Potential Claim-a,Potential Claim,2020-12-31,1,,
333,2,Rješavanje otvorenih SCB  i optimizacija procesa,SCB,2020-12-31,1,,
336,2,"Usavršavanje praæenja SLA vendorima Mikrografija, Data Link i Relational kroz JIRA radi brže i transparentnije provjere faktura",Usavršavanje praæenja SLA vendorima,2020-12-31,1,,
337,2,Edukacija Business Analysis Modeling Skills & Techniques uz samostalno plaæanje od strane zaposlenika,Edukacija,2020-12-31,2,2020-09-29 10:51:48.900000,anja.sa
338,2,Internal customers review,Internal customers review,2020-12-31,1,,
339,2,Preparing documentation for initating and initiating legal procceses on real estates,Activate cases in own portfolio,2020-12-31,1,,
340,2,"Review of daily tasks, Review of initiaties in own portfolio, Monthly 1-1 review",Business review TL,2020-12-31,1,,
341,2,"Improve prioritisations skills, involve less on non-important tasks, be more efficient",Prioritise & be efficient,2020-12-31,2,,
342,2,Revidirati postojeæe template dopisa i importirati ih u Arotron,Revidiranje postojeæih template-a dopisa i njihov import u Arotron,2020-12-31,1,,
343,2,Revidirati postojeæi proces i uskladiti promjene u postupanjima,Optimizacija procesa Review of file (Admin),2020-12-31,1,,
344,2,Analizirati i sažeti sve izmjene koje su se dogodile u procesima support tima u okolnostima karantene ,Sažetak utjecaja karantene na poslovanje tima,2020-12-31,2,,
345,2,Unaprijediti vještine kordinatora,Razvoj kordinatora,2020-12-31,2,,
346,2,Optimizacija procesa temeljem analize task force tima,Optimizacija procesa pošte,2020-10-01,1,,
347,2,"Analiza, dorada i implementacija postojeæih reporta",Revidiranje postojeæih reporta za izvještaje,2020-12-31,1,,
348,2,"Analiza, revidiranje i dokumentiranje postojeæih transakcija",Revidiranje postojeæih transakcija u Arotronu,2020-12-31,1,,
349,2,"Educirati nove djelatnike vezano uz zaprimanje, unos i potvrdu raèuna",Implementacija i edukacija tima za upravljanje raèunima,2020-12-31,1,,
350,2,"Revidirati sve korištene akcije, faze i implementacijske rezultate u Arotronu","Revidiranje svih akcija, faza i implementacijskih rezultata za support akcije u Arotronu",2020-12-31,1,,
351,2,Revidirati postojeci proces i uskladiti promjene u postupanjima te prijenti proces na kolege iz postakvizicije,"Optimizacija i prijenos procesa vezanog uz zahtjeve poslodavaca, HZMO i Fine",2020-12-31,1,,
352,2,Kreirati prirucnik s najcešcim pitanjima i odgovorima za sve procese za savjetnike u Odjelu naplate,Kreiranje prirucnika o procesima unutar support tima za savjetnike u Odjelu naplate,2020-12-31,2,,
354,2,Kreiranje Feasibility study dokumentacije koja æe biti standardni template ,Feasibility study,2020-12-31,1,,
355,2,"Kreiranje dokumentiranog procesa revizije Cost Benefit analize za sve projekte u B2K, kao standardne aktivnosti u svim IT projektima",Proces revizije Cost Benefit analize,2020-12-31,1,,
356,2,"Pružiti support u kreiranju standardizirane projektne metodologije sa konkretnim template-ovima po fazama i vrstama projektnog plana prema vrstama projekata (IT, Business) sa opcijom primjene JIRE kao službenog PM toola",Support projektnoj metodologiji,2020-12-31,1,,
357,2,Online edukacija za business finance sa fokusom na business case financirana od strane zaposlenika,Business finance edukacija,2020-12-31,2,,
358,2,Akciju aktivacije riješiti u 7 radnih dana (bez odgode vremena s fazom),Smanjivanje vremenskog perioda rješavanja aktivacije,2020-12-31,1,,
359,2,Revidirati postojeæi proces i uskladiti promjene u postupanjima,Optimizacija procesa s vanjskim odvjetnicima,2020-12-31,1,,
360,2,Revidirati postojeæi proces i uskladiti promjene u postupanjima,Optimizacija procesa za prigovore,2020-12-31,1,,
361,2,Analizirati i pospremiti postojeæu dokumentaciju na pripadajuæe lokacije.,Analiziranje dokumentacije iz Korininog ureda (GDPR problem),2020-12-31,1,,
362,2,"Mentoriranjem i podrškom u projektima žele se jaèati komunikacijske vještine, koordinacijske aktivnosti, asertivni stil komunikacije i motiviranje tima.",Mentorstvo i podrška svim kolegama unutar tima na projektima,2020-12-31,2,,
363,2,Održati radionicu i upoznati odjele s  radom support tima.,"Radionica za sve odjele (BO, RD, AM) vezana uz procese support tima",2020-12-31,2,,
364,2,Revidirati postojeæi proces i uskladiti promjene u postupanjima,Optimizacija procesa za preminule klijente,2020-12-31,1,,
365,2,Revidirati postojeæi proces i uskladiti promjene u postupanjima te prijenti proces na kolege iz postakvizicije,"Optimizacija i prijenos procesa vezanog uz zahtjeve poslodavaca, HZMO i Fine",2020-12-31,1,,
366,2,Analizirati predmete sa statusom Potential Claim i zatvoriti ih s pripadajucim rezultatima.,Cišcenje Potential Claim Q,2020-12-31,1,,
367,2,U potpunosti ovladati Complaint procesom,Savladavanje Complaint procesa,2020-12-31,2,,
368,2,Revidirati postojeci proces i uskladiti promjene u postupanjima,Optimizacija procesa za prigovore,2020-12-31,1,,
369,2,Akciju aktivacije riješiti u 7 radnih dana (bez odgode vremena s fazom),Smanjivanje vremenskog perioda rješavanja aktivacije,2020-12-31,1,,
370,2,"Održati radionicu o GDPR-u I Data Breachu za odjele RD, BO i AM",Radionica o GDPR-u i Data Breachu,2020-12-31,1,,
371,2,Akciju aktivacije riješiti u 7 radnih dana (bez odgode vremena s fazom),Smanjivanje vremenskog perioda rješavanja aktivacije,2020-12-31,2,,
372,2,Revidirati postojeæe template dopisa i importirati ih u Arotron,Revidiranje postojeæih template-a dopisa i njihov import u Arotron,2020-12-31,1,,
373,2,Revidirati postojeæi proces i uskladiti promjene u postupanjima,Optimizacija procesa Review of file (Admin),2020-12-31,1,,
374,2,Kreirati priruènik s najèešæim pitanjima i odgovorima za sve procese za savjetnike u Odjelu naplate,Kreiranje priruènika o procesima unutar support tima za savjetnike u Odjelu naplate,2020-12-31,2,,
375,2,Akciju aktivacije riješiti u 7 radnih dana (bez odgode vremena s fazom),Smanjivanje vremenskog perioda rješavanja aktivacije,2020-12-31,1,,
376,2,Sudjelovanje u pisanju procedura za unos i evidenciju troškova,Osobni cilj,2020-12-31,1,,
377,2,Organizacija foldera,Osobni cilj,2020-12-31,1,,
378,2,Razvoj plana za implementaciju sustava mentoringa za Back Office ,Osobni cilj,2020-12-31,2,,
379,2,Improving IT resolve times for problem reports considering end user feedback and overall IT FTE numbers,Improving IT resolve times for problem reports,2020-12-31,1,,
380,2,Establish PM framework of IT PM team with PM documentation and methodology in place,Establish PM framework of IT PM team,2020-12-31,1,,
381,2,Create IT staff backups for Senior positions in order for each position to have at least two IT FTEs ready to perform the tasks given,Create IT staff backups for Senior positions,2020-12-31,1,,
382,2,Develop further internal IT staff capabilities in order for the identified IT staff memember to be ready for position switch,Develop further internal IT staff capabilities,2020-12-31,2,,
383,2,Revidirati postojeæe template dopisa i importirati ih u Arotron,Revidiranje postojeæih template-a dopisa i njihov import u Arotron,2020-12-31,1,,
384,2,Revidirati postojeæi proces i uskladiti promjene u postupanjima,Optimizacija procesa opoziva kolaterala,2020-12-31,1,,
385,2,Analizirati i sažeti sve izmjene koje su se dogodile u procesima support tima u okolnostima ,Sažetak utjecaja karantene na poslovanje tima,2020-12-31,2,,
386,2,Akciju aktivacije riješiti u 7 radnih dana (bez odgode vremena s fazom),Smanjivanje vremenskog perioda rješavanja aktivacije,2020-12-31,1,,
390,2,Održati radionicu i upoznati tim s naèinom voðenja klijenata u AD. ,Radionica o voðenju klijenata iz pozicije Asset Managera,2020-12-31,1,,
391,2,Revidirati postojeæi proces i uskladiti promjene u postupanjima,Optimizacija procesa HZMO check,2020-12-31,1,,
392,2,U potpunosti ovladati procesima CDP tima (naglasak na support dio),Savladavanje svih procesa unutar CDP tima,2020-12-31,2,,
394,2,Održati radionicu i upoznati tim s naèinom voðenja klijenata u AD. ,Radionica o voðenju klijenata iz pozicije Asset Managera,2020-12-31,1,,
395,2,Revidirati postojeæi proces i uskladiti promjene u postupanjima,Optimizacija procesa HZMO check,2020-12-31,1,,
396,2,U potpunosti ovladati procesima CDP tima (naglasak na support dio),Savladavanje svih procesa unutar CDP tima,2020-12-31,2,,
398,2,The goal of IT CAPEX optimization is to minimize buying of new IT equpment and to maximize reuse of the current equipment as much as we can.,IT CAPEX Optimization,2020-12-31,1,,
399,2,"As requested on workshop with Lukasz Wrona and B2K compliance department, mitigate three security risks for databases and applications identified in the IT Security anylisys document.",IT Security risks mitigation,2020-12-31,1,,
400,2,"Maintain ""time to resolution"" for problem report tickets category within the IT team.","Maintain ""time to resolution"" for problem report tickets",2020-12-31,1,,
401,2,"Increase leadership skills through education and cocahing with my supperior and on a topic ""Feedback as a leadership tool""",Internal education,2020-12-31,2,,
402,2,Dynamic automation of report - tables and graphic report in Qlik -  coordination with colleagues from DWH/Controlling,"Solaris monthly co-investment meeting report 
automation (SSRS or Qlik)",2020-12-31,1,,
403,2,Mapping of base and automation of Weekly/Quatrely reports into Qlik in coordination with colleagues from DWH/Controlling,Coordination of automation of weekly/quarterly reports into Qlik,2020-12-31,1,,
404,2,Creation and mapping of transactional history table from all Solaris accounts and daily import into DWH - base for other reports,Creation of transactional history table from Solaris and daily import into DWH incl mapping,2020-12-31,1,,
405,2,Learning about the impact of stress and the tools to manage it,Stress management,2020-12-31,2,,
406,2,Forming a query for the complience department (all BBP tasks),Complience query,2020-12-31,1,,
408,2,"Kvaliteta rada - izrada desktop, drive by i procjembenih elaborata za potrebe sudskih postupaka","Kvaliteta odraðenih procjena, struènih mišljenja",2020-12-31,1,,
409,2,Maksimalan broj radnih dana potreban za odraðivanje jednog predmeta procjene/mišljenja prema vrsti / složenosti objekata nekretnina,"Brzina izrade procjena, struènih mišljenja",2020-12-31,1,,
410,2,"Kvaliteta rada - ocjena kolega unutar odjela, Prokurista i Direktora društva B2 Realestate doo",Kvaliteta komunikacije i timskog rada,2020-12-31,1,,
411,2,"Unaprjeðivanje templatea za izradu procjena i struènih mišljenja. Dijeljenje najboljih praksi s kolegama, ukazivati na nedostatke uradaka i poslovnih procesa.","Predlaganje poboljšavanja procesa, template-a, razmjena znanja i iskustva s kolegama",2020-12-31,2,,
412,2,"Unaprjeðivanje struènih znanja, praæenje struène literature i seminara iz podruèja nekretnina. Dijeljenje struènih praksi s kolegama, ukazivati na nedostatke uradaka.",Struèno usavršavanje znanja i zakonske regulative iz podruèja nekretnina,2020-12-31,2,,
414,2,"Kvaliteta rada - izrada desktop, driveby i procjembenih elaborata za potrebe sudskih postupaka","Kvaliteta odraðenih procjena, struènih mišljenja",2020-12-31,1,,
415,2,"Maksimalan broj radnih dana potreban za odraðivanje jednog predmeta procjene / mišljenja, prema vrsti / složenosti nekretnina","Brzina izrade procjena, struènih mišljenja",2020-12-31,1,,
423,2,Review of the changes related to the new procedure (Closing and capitalization),Procedure analysis,2020-12-31,1,,
424,2,Workshop topic: How to be more efficient in daily bussines (general tips),Time management workshop,2020-12-31,2,,
425,2,Creating tracking report for loans where partial Agreement for penalty interest write-off exsist,Agreement Tracking Report,2020-12-31,1,,
427,2,"Kvaliteta komunikacije i timskog rada  - ocjena kolega unutar odjela, Prokurista i Direktora društva B2 Realestate doo",Kvaliteta komunikacije i timskog rada ,2020-12-31,1,,
428,2,"Unaprijeðivanje templatea za izradu procjena i struènih mišljenja.
Dijeljenje najboljih praksi s kolegama, ukazivati na nedostatke uradaka i poslovnih procesa.","Predlaganje poboljšanja procesa, templatea, znanja ",2020-12-31,2,,
429,2,"Unaprijeðivanje struènih znanja, praæenje struène literature i seminara iz podruèja nekretnina. 
Dijeljenje struènih praksi s kolegama, ukazivati na nedostatke uradaka.",Struèno usavršavanje znanja i zakonske regulative,2020-12-31,2,,
430,2,Proficiency in Qlik sense tool and automation of existing excel reports into Qlik (own and cooperating with colleagues),Qlik sense,2020-12-31,1,,
431,2,Creating and automation of Promises reports and creating the historical Promises tables in DWH with all the data cleaned and checked,Promises historical database in DWH (incl. Data cleaning),2020-12-31,1,,
432,2,DWH curve import and reporting knowledge transfer from Blaško,DWH curve,2020-12-31,1,,
433,2,Learning about the impact of stress and the tools to manage it,Stress Management,2020-12-31,2,,
434,2,"Marketinške aktivnosti za preuzete nekretnine svih povezanih društava te objava oglasa za preuzete nekretnine, potraživanja i dražbe. ",Marketing,2020-12-31,1,,
435,2,"Aktivnosti u prodaji nekretnina: obilazak i prezentacija nekretnina s potencijalnim kupcima, pregovori oko prodaje, obrada prodajne dokumentacije.",Prodaja nekretnina,2020-12-31,1,,
436,2,Sudjelovanje u izradi REO Module-a i svladavanje istog u aplikaciji Arotron.,Izrada i svladavanje REO Module-a unutar Arotrona,2020-12-31,2,,
437,2,"Aktivnosti oko održavanja, marketinga i prodajnih aktivnosti za jahtu ""LIR"".","Jahta ""LIR""",2020-12-31,1,,
438,2,"Analiza i izrada mišljenja o utrživosti nekretnina u kolateralu za potraživanja i dražbe.
Izvještavanje prodajnih rezultata i tijeka prodaje, izvještavanje o marketinškim aktivnostima i rezultatima.",Mišljenja za WO odjel i Izvještavanja,2020-12-31,1,,
439,2,"Kvaliteta rada - izrada desktop, drive by i procjembenih elaborata za potrebe sudskih postupaka","Kvaliteta odraðenih procjena, struènih mišljenja",2020-12-03,1,,
440,2,Maksimalan broj radnih dana potreban za odraðivanje jednosg predmeta procjene/mišljenja prema vrsti/složenosti objekata nekretnina,"brzina izrade procjena, struènih mišljenja",2020-12-31,1,,
441,2,"Kvaliteta rada - ocjena kolega unutar odjela, Prokurista i Direktora društva B2 Realestate d.o.o.",Kvaliteta komunikacije i timskog rada,2020-12-31,1,,
442,2,"Unaprjeðivanje template-a za izradu procjena i struènih mišljenja. Dijeljenje najboljih praksi s kolegama, ukazivati na nedostatke uradaka i poslovnih procesa","poboljšanje procesa, template-a, razmjena znanja i iskustva",2020-12-31,2,,
443,2,Optimization WF  Incoming post,Individual Result/KPI,2020-12-31,1,,
444,2,List and elaboration of all tasks for Incoming post,Individual Result/KPI,2020-12-31,1,,
445,2,Mentoring in process optimization WF ,Individual Result/KPI,2020-12-31,2,,
446,2,"Riješiti cjelokupni backlog fizièkih rješenja jednostavnog postupka steèaja potrošaèa, cjelokupni backlog HPB kutija pošte i  provoðenje internih edukacija",Poslovni strateški XXX,2020-12-31,1,,
447,2,"Aktivnosti vezane za prodaju nekretnina: obilazak i prezentacija nekretnina s potencijalnim kupcima, obrada podataka i priprema dokumentacije. ",Prodaja nekretnina ,2020-12-31,1,,
448,2,"Uspostava poslovnih procesa izmeðu odjelakoji blisko suraðuju u procesu prodaje nekretine, smanjenje operativnih troškova. ",Optimizacija posovnih procesa,2020-12-31,1,,
449,2,Aktivnosti oko rješavanja problematike vezano za posjed nekretnina koje su preuzete sa posjednicima ili bivšim vlasnicima koji nisu predali nekretninu mirnim putem. ,rješavanje problema posjeda sa posjednicima nekretnina u vlasništvu ,2020-12-31,1,,
450,2,Izrada info materijala za prodaju nekretninna koje u preuzete te oglašavanje i praæenje svih oglasa objavljenih na web portalima. ,Izrada info materijala za prodaju nekretninna te oglašavanje,2020-12-31,1,,
451,2,Optimization WF  Return of overpayment ,Osobni cilj,2020-12-31,1,,
452,2,Folder organization ,Osobni cilj,2020-12-31,1,,
453,2,AML-prezentacija TL/HD,Osobni cilj,2020-12-31,2,,
454,2,Riješiti povrate preplate iz prethodnih godina,Overpayment OC,2020-12-31,1,,
455,2,"Prikupljanje dokumentacije, organiziranje termina preuzimanja/primopredaje, utvrðivanje stanja i razgled objekta, ispunjavanje primopredajnog zapisnika, uvoðenje FM-a na objekt i popratne primarne radnje vezane uz promjenu brava i sl. ",Preuzimanje i primopredaja nekretnina ,2020-12-31,1,,
456,2,Prikupljanje i analiza (provjera) kompletnih režijskih troškova. Izrada tablice prefakture troška po kljuèu odreðenim ugovorom o zakupu. ,Prefakture troškova ,2020-12-31,1,,
